[2022-12-06 20:35:46,746][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:47,556][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:47,824][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:48,044][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:48,298][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:48,530][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:48,751][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:49,004][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:49,252][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:49,509][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:49,735][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:49,948][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:50,157][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:50,358][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:50,609][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:50,838][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:51,055][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:35:51,259][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 363]. Convert image to uint8 prior to saving to suppress this warning.
